Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Esteves, Luis Gustavo; Peixoto, Cláudia Monteiro; Simonis, Adilson; ",On runs in exchangeable Bernoulli processes,,,,,2005,
"Borges, Wagner S; Esteves, Luis Gustavo; Wechsler, Sergio; ",On the Estimation of Process Parameters in the Taguchi’s Approach to the On‐line Control Procedure for Attributes,AIP Conference Proceedings,1073,1,268-277,2008,American Institute of Physics
"Melo, Brian Alvarez R de; Esteves, Luis Gustavo; ",Bayesian Hypothesis Testing in Finite Populations: Bernoulli Multivariate Variables,Interdisciplinary Bayesian Statistics: EBEB 2014,,,197-205,2015,Springer International Publishing
"Fossaluza, Victor; Esteves, Luís Gustavo; Pereira, Carlos Alberto de Bragança; ",Estimating multivariate discrete distributions using Bernstein copulas,Entropy,20,3,194,2018,MDPI
"Marcula, M; Esteves, LG; Melo, BAR; Nunes, RAB; Fossaluza, V; Pereira, CAB; Mansur, AJ; ",P5666 Long-term survival analysis of patients with heart failure of different etiologies in a Brazilian cohort of outpatients-a bayesian approach,European Heart Journal,39,suppl_1,ehy566. P5666,2018,Oxford University Press
"Borges, Wagner de Souza; Esteves, Luís Gustavo; Wechsler, Sergio; ",Process parameters estimation in the Taguchi on-line quality monitoring procedure for attributes,,,,,2005,
"Wechsler, Sergio; Esteves, Luís Gustavo; Simonis, Adilson; Peixoto, Claudia; ","Indifference, neutrality and informativeness: Generalizing the three prisoners paradox",Synthese,143,,255-272,2005,Kluwer Academic Publishers
"Tsunemi, Miriam Harumi; Campos, Thiago Feitosa; Esteves, Luís Gustavo; Leite, José Galvão; Wechsler, Sergio; ",A Bayesian nonparametric model for Taguchi's on-line quality monitoring procedure for attributes,Journal of Statistical Planning and Inference,142,9,2701-2709,2012,Elsevier
"Nunes, Marcelo; Ribeiro, Ivan; Roquim, Pedro; Trecenti, Julio; ",The Sheriff of Nottingham Hypothesis: A Tribute to Theodore Eisenberg,Journal of Institutional and Theoretical Economics: JITE,,,122-140,2015,Mohr Siebeck GmbH & Co. KG
"Corrêa, Fernando; Trecenti, Julio; ",Symmetric and Asymmetric Information Models Living Together: Evidence from Brazilian Courts,Available at SSRN 3205741,,,,2018,
